keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
토지,0.001545480376787905,0.0015603665272858572,1.4886150497952187e-05,29.07821916445794,33.029322271769864,2.329154114410808,cumulative_reconfiguration,0.0015603665272858572
여성,0.0006081997161406956,0.0015554823927677458,0.0009472826766270502,6.433592766290838,23.347506290002777,16.5815379181198,pre_existing_government_change,0.0015554823927677458
추진,0.0006851783419608917,0.0015366541532243604,0.0008514758112634687,9.899739573233266,27.329504657725447,16.935067137725195,pre_existing_government_change,0.0015366541532243604
협업,0.00052107563379902,0.0015190053124599634,0.0009979296786609435,12.853758628072988,37.65051645509838,24.584916438736037,pre_existing_government_change,0.0015190053124599634
규제,-0.0025158245454653004,0.001484722126171274,0.004000546671636574,-22.97369496194632,26.018337268880323,49.90282080559459,pre_existing_government_change,0.001484722126171274
대검찰청,0.001045272696308586,0.0014723274424040572,0.00042705474609547117,19.16595398450947,32.22154749602036,12.458956300501026,cumulative_reconfiguration,0.0014723274424040572
매수,0.001127234622970883,0.0014553019884053179,0.0003280673654344349,21.89732398947277,29.9862837956913,7.171581335538233,cumulative_reconfiguration,0.0014553019884053179
클라우드,0.00024633952221545484,0.0014518524415822217,0.001205512919366767,7.198984872257207,44.9073553848244,38.120588685997866,pre_existing_government_change,0.0014518524415822217
음성,0.0011097399909567056,0.0014189755808779391,0.00030923558992123354,26.538509316095343,37.42290888822027,9.906431361423516,cumulative_reconfiguration,0.0014189755808779391
공매도,0.0010289375433368791,0.001383874249546821,0.00035493670620994174,31.02258405098028,45.93249501740024,15.466983346215606,cumulative_reconfiguration,0.001383874249546821
밀레니얼,0.00018488860578355203,0.001351314542942183,0.0011664259371586309,2.02243170270438,39.92075834035275,38.16859745960708,pre_existing_government_change,0.001351314542942183
김부겸,0.0012760805755224292,0.0013408426461046798,6.476207058225055e-05,27.317164083384124,30.028713523736776,1.0748386873057958,cumulative_reconfiguration,0.0013408426461046798
집계,0.0010565013782899372,0.001323571235353973,0.00026706985706403583,20.920142155748664,29.86285445470172,7.931057511966357,cumulative_reconfiguration,0.001323571235353973
지휘,0.0012644628789259427,0.0013102762351633905,4.581335623744776e-05,24.756837344447824,31.568506523046626,5.551584225137364,cumulative_reconfiguration,0.0013102762351633905
한국토지주택공사,0.0012053773324647256,0.0013065366131903037,0.00010115928072557806,25.91524331150832,31.14677772634549,3.925928992668288,cumulative_reconfiguration,0.0013065366131903037
중증,0.0012777399927042488,0.0012957072221497171,1.7967229445468294e-05,34.39087032286794,37.95621105166484,1.395564227222977,cumulative_reconfiguration,0.0012957072221497171
임대료,0.0007699920251475073,0.0012950397681112053,0.000525047742963698,17.530333504033226,31.98815009347708,13.798198630413822,cumulative_reconfiguration,0.0012950397681112053
가해자,0.0002329752099479135,0.0012847187716914748,0.0010517435617435613,4.671443662750822,30.8229507462149,26.02953658004068,pre_existing_government_change,0.0012847187716914748
솔루션,0.0004157049746690473,0.0012720798404663861,0.0008563748657973388,13.808337376965302,37.317314126134605,23.480062676677157,pre_existing_government_change,0.0012720798404663861
보유세,0.0002968172568980597,0.0012624302649470718,0.0009656130080490121,9.524183688045136,47.50583268771869,39.81209331637791,pre_existing_government_change,0.0012624302649470718
김기현,0.0007251657320334199,0.001260364221930662,0.0005351984898972421,16.42422662817569,36.44697088986046,20.49950773307856,cumulative_reconfiguration,0.001260364221930662
업무,0.0006064417423922493,0.001255747483171931,0.0006493057407796817,8.996870431296312,25.86293193954325,16.412808812348736,pre_existing_government_change,0.001255747483171931
신혼부부,0.00022259839681140043,0.0012501937310955488,0.0010275953342841486,4.279099303666463,32.77959418828149,28.5785165300724,pre_existing_government_change,0.0012501937310955488
급등,0.0010787629083075833,0.001247260027867409,0.00016849711955982567,25.68288371163285,35.26337348664225,8.612090635206956,cumulative_reconfiguration,0.001247260027867409
거주,0.0009356522518732657,0.001245587648045523,0.00030993539617225744,20.365832284738698,30.43873945758143,9.11550115981333,cumulative_reconfiguration,0.001245587648045523
소셜미디어,0.0004980201564372731,0.0012439378546086595,0.0007459176981713864,11.896152551448742,34.15199060061979,22.67749825588019,pre_existing_government_change,0.0012439378546086595
폐쇄,0.0008198088681099004,0.0012363346610745232,0.00041652579296462284,19.958722615145184,30.119993316473508,9.225811535658629,cumulative_reconfiguration,0.0012363346610745232
지검장,0.0009413101023665338,0.0012272762525053665,0.00028596615013883265,25.280994093050825,36.83522872109205,11.34794235972431,cumulative_reconfiguration,0.0012272762525053665
시세,0.00043076027696975104,0.0012240508549118945,0.0007932905779421435,9.73871161774809,37.20813319311345,27.59992011183078,pre_existing_government_change,0.0012240508549118945
