keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
후보들,0.001971519209498364,0.0014822034351303147,-0.0004893157743680494,41.93837967536413,34.90767672679747,-10.610971730291451,post_covid_specific_increase,0.0014822034351303147
여파,0.0013935067443524858,0.0013905349358875334,-2.9718084649523694e-06,30.49681378486324,34.20809890448431,1.9234550882521315,post_covid_specific_increase,0.0013905349358875334
전염병,0.0015141431204027944,0.0013821015164392125,-0.00013204160396358184,38.54187501543242,36.91779436886845,-5.6708312145813125,post_covid_specific_increase,0.0013821015164392125
한국판,0.0015071458748081334,0.001363170096723725,-0.00014397577808440834,44.80015231659564,44.45384663396938,-5.21903340073581,post_covid_specific_increase,0.001363170096723725
물가,0.0014333711100697887,0.0013611604359303636,-7.221067413942512e-05,30.8249837224267,34.19822715085656,1.607693477506278,post_covid_specific_increase,0.0013611604359303636
정권교체,0.0019592732879565207,0.0013568533667391428,-0.0006024199212173778,45.28290209580064,31.25119780179053,-19.63166113420439,post_covid_specific_increase,0.0013568533667391428
봉쇄,0.0013999016305493157,0.0013103973288044236,-8.950430174489222e-05,36.043989941955004,36.43991743236293,-2.4425359812956806,post_covid_specific_increase,0.0013103973288044236
유세,0.001423152275119978,0.001306405897297744,-0.00011674637782223382,32.951897656216445,31.18812858561973,-4.367246479567348,post_covid_specific_increase,0.001306405897297744
보건,0.0019494622984476248,0.0013035169928816998,-0.000645945305565925,36.29558964184729,25.0931240789804,-13.319824074348713,post_covid_specific_increase,0.0013035169928816998
청주,0.0012595176772507177,0.0012339658703990485,-2.5551806851669204e-05,21.612834807403225,23.34691890360953,0.5094156468074527,post_covid_specific_increase,0.0012339658703990485
보궐선거,0.0016578992772572773,0.0012235368054689469,-0.00043436247178833034,39.17381538527856,30.943111946687655,-12.75080097821344,post_covid_specific_increase,0.0012235368054689469
증상,0.001796670119496773,0.0012212060760328069,-0.0005754640434639661,45.50213823726754,36.003932798110306,-13.091955788285512,post_covid_specific_increase,0.0012212060760328069
여권,0.0013458532899077282,0.001181273374505505,-0.0001645799154022232,24.698016742588653,26.244641951689516,0.1916618376523922,post_covid_specific_increase,0.001181273374505505
입당,0.0011544788534278833,0.00115065404152972,-3.824811898163211e-06,30.629401809869574,33.95528319794004,1.441670750545008,post_covid_specific_increase,0.00115065404152972
감사원장,0.0014723927892347384,0.0011343101254038543,-0.00033808266383088416,39.59602322670238,31.182535829333737,-14.095353253473876,post_covid_specific_increase,0.0011343101254038543
보상,0.0011982249570021623,0.0011228594112524652,-7.536554574969715e-05,23.340275940330127,25.051274483779665,0.4955927026719903,post_covid_specific_increase,0.0011228594112524652
지지자,0.0012086215344041396,0.0011209517973145196,-8.76697370896201e-05,24.276965362848884,23.512768340471045,-2.203619407648778,post_covid_specific_increase,0.0011209517973145196
전세,0.0017168782390233504,0.0011159107768996198,-0.0006009674621237306,40.81033647656316,26.29161905463216,-17.504725138343293,post_covid_specific_increase,0.0011159107768996198
전주,0.0011144592713825802,0.0011090326052733588,-5.426666109221382e-06,15.124880721351008,19.495712175983844,3.607446279592305,post_covid_specific_increase,0.0011090326052733588
보건소,0.0012031262318157418,0.0010957153068075656,-0.00010741092500817629,33.98444982130636,33.83261285073535,-3.002766291687004,post_covid_specific_increase,0.0010957153068075656
중도,0.001096597465816173,0.001046120765685013,-5.04767001311599e-05,22.54359796520488,24.769578924895,0.9939417878794812,post_covid_specific_increase,0.001046120765685013
지침,0.0011621824882849922,0.001036061351236308,-0.00012612113704868412,25.49337440221471,23.990524374708396,-2.9479789778341523,post_covid_specific_increase,0.001036061351236308
대구시,0.0011682058761488699,0.0009989623171762112,-0.00016924355897265865,24.69721319654545,23.601074436356072,-2.6137351301919574,post_covid_specific_increase,0.0009989623171762112
급증,0.0012103988870667932,0.0009928441017410122,-0.00021755478532578098,27.341984642974268,25.68031099228911,-3.23622115617278,post_covid_specific_increase,0.0009928441017410122
전파,0.00118215070830062,0.0009591209702962827,-0.00022302973800433735,35.80631656481183,34.250445276821665,-4.089921262337066,post_covid_specific_increase,0.0009591209702962827
사면,0.0013739406167048007,0.0009555892671144904,-0.0004183513495903102,38.82660951857223,29.12038410716567,-13.312870095910675,post_covid_specific_increase,0.0009555892671144904
박탈,0.0009636181756844921,0.0009547849626437662,-8.833213040725877e-06,21.623395089635352,23.967755001343985,1.0925354748758058,post_covid_specific_increase,0.0009547849626437662
그래픽,0.0010616615489907385,0.0009196227420700718,-0.0001420388069206666,21.471409646440428,24.213848685001647,1.5563362694102434,post_covid_specific_increase,0.0009196227420700718
의대,0.0008823299871939836,0.0008775992016730829,-4.730785520900703e-06,25.29403699052377,27.638462621277107,0.8546968111715622,post_covid_specific_increase,0.0008775992016730829
의료,0.0015951475340652689,0.0008458383281433534,-0.0007493092059219155,30.41547222319296,14.962191475106286,-16.81863227259037,post_covid_specific_increase,0.0008458383281433534
당원,0.0015727780481373313,0.000837655661774502,-0.0007351223863628293,28.967234119754835,17.806679492585467,-12.770611931869087,post_covid_specific_increase,0.000837655661774502
직원,0.001477173830205395,0.0008186416826941895,-0.0006585321475112054,18.3149906266646,16.873001070543243,-2.2675936311680838,post_covid_specific_increase,0.0008186416826941895
아카데미,0.0008356271853339421,0.0008118742615670295,-2.3752923766912613e-05,20.77861373129872,22.57004643118763,0.5908809689736173,post_covid_specific_increase,0.0008118742615670295
춘천,0.0010053678330014836,0.0008106677480681012,-0.0001947000849333824,19.350018893681604,16.381928191865054,-4.198819716044239,post_covid_specific_increase,0.0008106677480681012
박영선,0.0013546372372731552,0.0008068585974136432,-0.0005477786398595121,29.76738526682897,20.99642873311709,-10.739156318747602,post_covid_specific_increase,0.0008068585974136432
손실,0.0009386772966163183,0.0008020808575155422,-0.00013659643910077604,20.278641910996704,19.10897231517677,-2.23351990488711,post_covid_specific_increase,0.0008020808575155422
교회,0.0013705302757415503,0.000801860732646667,-0.0005686695430948831,34.72880474217643,24.43471200923545,-12.709604598088724,post_covid_specific_increase,0.000801860732646667
연휴,0.0008422069938670358,0.0008013344639948069,-4.087252987222895e-05,19.171393403878174,23.31766094862336,3.146711157918007,post_covid_specific_increase,0.0008013344639948069
수사팀,0.000944098917040676,0.0007888701993363529,-0.00015522871770432315,27.14276905655795,24.870372533401643,-4.424944715345018,post_covid_specific_increase,0.0007888701993363529
울산시,0.0007893222957596511,0.0007873401419361897,-1.9821538234614374e-06,14.82075872292194,18.65480223188917,3.0727401101982688,post_covid_specific_increase,0.0007873401419361897
계약,0.0008455795067002355,0.000784222430208625,-6.135707649161052e-05,17.858974617430047,19.868488064871134,1.1586437532689338,post_covid_specific_increase,0.000784222430208625
유권자,0.0017827842077957898,0.0007655024232948054,-0.0010172817845009844,33.88337112869561,14.785501741902378,-20.872621000418423,post_covid_specific_increase,0.0007655024232948054
예비,0.0008210385333262027,0.000763898940474819,-5.713959285138376e-05,14.106107530924971,16.72211823507563,1.916645431513751,post_covid_specific_increase,0.000763898940474819
패스,0.0007843159289795428,0.000752380968215533,-3.1934960764009755e-05,25.238342868582908,28.20348481526702,1.4578382530899758,post_covid_specific_increase,0.000752380968215533
양당,0.0010573417230302163,0.0007463328356639098,-0.0003110088873663066,24.882105439788106,20.40452392146847,-6.13531459524486,post_covid_specific_increase,0.0007463328356639098
의원은,0.000964320652664207,0.0007254452484610676,-0.00023887540420313943,15.866918747926466,13.26008370017835,-3.4167833706842585,post_covid_specific_increase,0.0007254452484610676
질병,0.0008510895384380701,0.0006933226467502301,-0.00015776689168784004,20.443295008199183,20.219607698787183,-1.3208721623853197,post_covid_specific_increase,0.0006933226467502301
미얀마,0.0009246374538923927,0.0006916127602200096,-0.00023302469367238307,31.802087334786005,28.30201406024772,-5.843106626972875,post_covid_specific_increase,0.0006916127602200096
진영,0.0009286613812816116,0.000685965486225537,-0.00024269589505607463,15.456907443426443,12.44712614063796,-3.735790522227105,post_covid_specific_increase,0.000685965486225537
세종시,0.0010873991095538985,0.0006808644835803515,-0.00040653462597354693,21.3398652602966,16.153385225110608,-6.327334582242242,post_covid_specific_increase,0.0006808644835803515
배출량,0.0006757482063640183,0.0006668665893933847,-8.881616970633625e-06,21.15245374474094,23.5143144771771,1.1356161518810477,post_covid_specific_increase,0.0006668665893933847
종로,0.0007591461146455531,0.0006650909400449078,-9.405517460064525e-05,22.087150657968035,21.207595851253117,-2.2778503260052023,post_covid_specific_increase,0.0006650909400449078
지배구조,0.0006569771682988009,0.000655304518324679,-1.672649974121922e-06,14.96943329592272,15.855065006139668,0.052365750150499,post_covid_specific_increase,0.000655304518324679
직무,0.0009015057927060969,0.0006493637886008131,-0.0002521420041052837,15.722294431652108,13.306028945335964,-3.1573024517541386,post_covid_specific_increase,0.0006493637886008131
자제,0.0006517584181959107,0.0006448617695356848,-6.896648660225952e-06,17.891989415783666,20.21416641281762,1.3737099182858614,post_covid_specific_increase,0.0006448617695356848
특혜,0.0006557819157480662,0.0006370809104471204,-1.8701005300945754e-05,10.281596401087487,12.380309082513456,1.6021600302851144,post_covid_specific_increase,0.0006370809104471204
현금,0.0006531237248251214,0.0006177414019441347,-3.538232288098674e-05,12.63421202386967,16.755172190386023,3.49787200641356,post_covid_specific_increase,0.0006177414019441347
충청,0.001145380254645706,0.0006125314462089781,-0.0005328488084367281,27.77568251139029,13.982109252721347,-15.625988099990629,post_covid_specific_increase,0.0006125314462089781
