comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,당선자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2620,11576,42.827424732276356,moon_post_covid_2020_2022,42.827424732276356,55.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,수칙,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,513,7096,42.76293226535772,moon_post_covid_2020_2022,42.76293226535772,56.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,모더,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0,5708,42.608842127639555,moon_post_covid_2020_2022,42.608842127639555,57.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,단일,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6178,17563,42.160751178316666,moon_post_covid_2020_2022,42.160751178316666,58.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,송영무,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5661,74,-41.9534057718785,moon_pre_covid_2017_2019,41.9534057718785,59.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,후보들,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,3839,13531,41.93837967536413,moon_post_covid_2020_2022,41.93837967536413,60.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,원희룡,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2218,10530,41.92978170730055,moon_post_covid_2020_2022,41.92978170730055,61.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,김은혜,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,57,5684,41.915343098741076,moon_post_covid_2020_2022,41.915343098741076,62.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,확진자가,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,13,5555,41.89413326451303,moon_post_covid_2020_2022,41.89413326451303,63.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,대유행,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,53,5622,41.721943005335746,moon_post_covid_2020_2022,41.721943005335746,64.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,표심,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2260,10531,41.65652047309531,moon_post_covid_2020_2022,41.65652047309531,65.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,개학,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,604,6999,41.58798856158984,moon_post_covid_2020_2022,41.58798856158984,66.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,소상공인,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,11271,25152,41.48863999689016,moon_post_covid_2020_2022,41.48863999689016,67.0
