keyword,count_moon_original,count_park_original,log_odds_z_original,direction_original,abs_log_odds_z_original,condition_original,rank_original,count_moon_covid_filtered,count_park_covid_filtered,log_odds_z_covid_filtered,direction_covid_filtered,abs_log_odds_z_covid_filtered,condition_covid_filtered,rank_covid_filtered,retained_in_top_n,direction_stable,rank_change_filtered_minus_original
일자리,170481.0,77945.0,35.17690515656683,문재인정부,35.17690515656683,original_base,59.0,170481.0,77945.0,36.12807426446428,문재인정부,36.12807426446428,covid_filtered,49.0,True,True,-10.0
집단감염,6865.0,35.0,35.17491758036583,문재인정부,35.17491758036583,original_base,60.0,6865.0,35.0,35.32550238366332,문재인정부,35.32550238366332,covid_filtered,52.0,True,True,-8.0
특활비,6589.0,9.0,34.73333625542434,문재인정부,34.73333625542434,original_base,61.0,6589.0,9.0,34.880452997725754,문재인정부,34.880452997725754,covid_filtered,53.0,True,True,-8.0
중기부,6543.0,1.0,34.70041478863869,문재인정부,34.70041478863869,original_base,62.0,6543.0,1.0,34.84688392702637,문재인정부,34.84688392702637,covid_filtered,54.0,True,True,-8.0
행정처,8876.0,622.0,34.643459554429946,문재인정부,34.643459554429946,original_base,63.0,8876.0,622.0,34.822593914676226,문재인정부,34.822593914676226,covid_filtered,55.0,True,True,-8.0
인문학,5449.0,9031.0,-34.57509326890215,박근혜정부,34.57509326890215,original_base,64.0,5449.0,9031.0,-34.344807022297985,박근혜정부,34.344807022297985,covid_filtered,64.0,True,True,0.0
개학,7603.0,283.0,34.5335733701231,문재인정부,34.5335733701231,original_base,66.0,7603.0,283.0,34.695741376599734,문재인정부,34.695741376599734,covid_filtered,56.0,True,True,-10.0
자율주행,10112.0,1016.0,34.41109973030189,문재인정부,34.41109973030189,original_base,67.0,10112.0,1016.0,34.606020280317274,문재인정부,34.606020280317274,covid_filtered,58.0,True,True,-9.0
시세,16631.0,3253.0,34.360824786797195,문재인정부,34.360824786797195,original_base,68.0,16631.0,3253.0,34.62474487556381,문재인정부,34.62474487556381,covid_filtered,57.0,True,True,-11.0
공매도,11724.0,1535.0,34.3552284077649,문재인정부,34.3552284077649,original_base,69.0,11724.0,1535.0,34.56898746236227,문재인정부,34.56898746236227,covid_filtered,60.0,True,True,-9.0
김의겸,7174.0,191.0,34.333783873319526,문재인정부,34.333783873319526,original_base,70.0,7174.0,191.0,34.490142708412726,문재인정부,34.490142708412726,covid_filtered,61.0,True,True,-9.0
거래소,18341.0,3904.0,34.30744791945083,문재인정부,34.30744791945083,original_base,71.0,18341.0,3904.0,34.587115176904646,문재인정부,34.587115176904646,covid_filtered,59.0,True,True,-12.0
비트코인,10675.0,1210.0,34.25988469644262,문재인정부,34.25988469644262,original_base,72.0,10675.0,1210.0,34.461736714743495,문재인정부,34.461736714743495,covid_filtered,62.0,True,True,-10.0
류재복,6751.0,95.0,34.22129416933293,문재인정부,34.22129416933293,original_base,73.0,6751.0,95.0,34.37161108262472,문재인정부,34.37161108262472,covid_filtered,63.0,True,True,-10.0
고위공직자범죄수사처,6339.0,1.0,34.15479072401934,문재인정부,34.15479072401934,original_base,74.0,6339.0,1.0,34.2989586627762,문재인정부,34.2989586627762,covid_filtered,65.0,True,True,-9.0
공수처장,6422.0,29.0,34.06297489156508,문재인정부,34.06297489156508,original_base,75.0,6422.0,29.0,34.208556379204104,문재인정부,34.208556379204104,covid_filtered,67.0,True,True,-8.0
등교,11604.0,1540.0,34.0237596938716,문재인정부,34.0237596938716,original_base,76.0,11604.0,1540.0,34.236643536693805,문재인정부,34.236643536693805,covid_filtered,66.0,True,True,-10.0
착용,17116.0,3519.0,33.86086551887729,문재인정부,33.86086551887729,original_base,77.0,17116.0,3519.0,34.130014994885485,문재인정부,34.130014994885485,covid_filtered,68.0,True,True,-9.0
우한,7660.0,371.0,33.80867235331879,문재인정부,33.80867235331879,original_base,78.0,7660.0,371.0,33.972704661333,문재인정부,33.972704661333,covid_filtered,70.0,True,True,-8.0
피크제,484.0,3143.0,-33.705107357328735,박근혜정부,33.705107357328735,original_base,79.0,484.0,3143.0,-33.59296904150616,박근혜정부,33.59296904150616,covid_filtered,79.0,True,True,0.0
윤호중,7934.0,457.0,33.70351552834487,문재인정부,33.70351552834487,original_base,80.0,7934.0,457.0,33.87148911725921,문재인정부,33.87148911725921,covid_filtered,72.0,True,True,-8.0
화이자,6846.0,167.0,33.70267869657842,문재인정부,33.70267869657842,original_base,81.0,6846.0,167.0,33.855178860417084,문재인정부,33.855178860417084,covid_filtered,74.0,True,True,-7.0
협업,23262.0,5976.0,33.65412032703626,문재인정부,33.65412032703626,original_base,82.0,23262.0,5976.0,33.97609783383923,문재인정부,33.97609783383923,covid_filtered,69.0,True,True,-13.0
미세,20841.0,5011.0,33.5979191367147,문재인정부,33.5979191367147,original_base,83.0,20841.0,5011.0,33.90022742734,문재인정부,33.90022742734,covid_filtered,71.0,True,True,-12.0
협치,17567.0,3736.0,33.59409200296375,문재인정부,33.59409200296375,original_base,84.0,17567.0,3736.0,33.867766400427634,문재인정부,33.867766400427634,covid_filtered,73.0,True,True,-11.0
