keyword,tfidf_park,tfidf_moon,importance,delta_moon_minus_park,pct_change_moon_vs_park,condition
호텔,0.0025236959685418668,0.0024046252080558547,0.004928321176597722,-0.00011907076048601204,-4.718110341746449,original_base
여명,0.0027550758699597016,0.0021717326534933007,0.004926808523453003,-0.0005833432164664008,-21.17339935451336,original_base
찬성,0.002389137930460391,0.0025356096550207315,0.004924747585481122,0.00014647172456034056,6.1307353875594455,original_base
보험료,0.0027307365932037384,0.0021934904622927702,0.004924227055496508,-0.0005372461309109682,-19.67403711687415,original_base
당원,0.0023550408092952568,0.0025676053863247592,0.004922646195620016,0.00021256457702950246,9.025940280547077,original_base
명예,0.002643757679279146,0.0022764926732631945,0.00492025035254234,-0.0003672650060159515,-13.891780207181883,original_base
예비,0.002209323243991985,0.002710096323094286,0.004919419567086272,0.000500773079102301,22.66635633622645,original_base
집계,0.0018806602640982842,0.00303752843660186,0.004918188700700144,0.0011568681725035758,61.51393713091804,original_base
예산안,0.0022083342290158074,0.0027098294085020442,0.004918163637517852,0.0005014951794862369,22.709206464174546,original_base
체험,0.0026300808644141296,0.0022876042640149253,0.004917685128429055,-0.0003424766003992043,-13.021523597735218,original_base
명의,0.0025791396985330394,0.002334618166090676,0.004913757864623716,-0.00024452153244236335,-9.48074013134853,original_base
경찰청,0.0024447492869513893,0.0024686837065788876,0.004913432993530277,2.393441962749831e-05,0.9790132573203288,original_base
성명,0.0024037281447299537,0.0025068853892434,0.004910613533973354,0.00010315724451344637,4.2915520517415064,original_base
훼손,0.002349630972021975,0.0025552650510700346,0.00490489602309201,0.00020563407904805944,8.751760659296256,original_base
전반,0.0023691983934670926,0.0025353519481333326,0.004904550341600426,0.00016615355466624007,7.013070544214342,original_base
센터장,0.0023085704876412154,0.00258769781391631,0.004896268301557526,0.0002791273262750947,12.09091633846075,original_base
특성,0.0023692170534166277,0.002521346880617521,0.004890563934034149,0.00015212982720089327,6.42110130777204,original_base
향상,0.0024832159550491326,0.0024054674040485135,0.004888683359097646,-7.774855100061914e-05,-3.1309621236337786,original_base
캐나다,0.002500733971581372,0.002378632883261304,0.004879366854842675,-0.00012210108832006817,-4.882610053993706,original_base
다수,0.0021807336224258273,0.00269394838980015,0.004874682012225977,0.0005132147673743226,23.534042035057332,original_base
요금,0.0025014256910003566,0.002372889359145357,0.004874315050145714,-0.00012853633185499948,-5.138522895860877,original_base
댓글,0.001955133413136395,0.002918205567725296,0.004873338980861691,0.0009630721545889013,49.25864128340765,original_base
신속,0.001647636780699042,0.003215173766895695,0.004862810547594737,0.001567536986196653,95.13850410231768,original_base
차세대,0.002064300455679994,0.0027886903476848596,0.0048529908033648535,0.0007243898920048656,35.09130126923539,original_base
의결,0.002078790489344817,0.002766561598881529,0.004845352088226345,0.000687771109536712,33.08515759822821,original_base
부부,0.002362552330376703,0.0024736662861244004,0.004836218616501103,0.00011111395574769749,4.7031320457558135,original_base
원래,0.002313987573006447,0.0025184919418756078,0.004832479514882054,0.0002045043688691608,8.837747067217764,original_base
호소,0.002027938809556518,0.002803094269315597,0.004831033078872116,0.0007751554597590789,38.22380912610448,original_base
다시,0.0023514197622445054,0.0024795034333504784,0.004830923195594984,0.00012808367110597307,5.447078108406859,original_base
재단,0.002810150188698928,0.0020153525617089703,0.004825502750407898,-0.0007947976269899576,-28.28310138676044,original_base
벤처,0.0020340102773029915,0.0027899091037185287,0.00482391938102152,0.0007558988264155372,37.16297969830447,original_base
혼자,0.002488463397198125,0.002335453286590352,0.0048239166837884765,-0.0001530101106077728,-6.148778831951232,original_base
고려대,0.0025953970510800297,0.0022206001335187027,0.004815997184598733,-0.000374796917561327,-14.440831602446405,original_base
진실,0.002570520851035737,0.0022451712450984092,0.004815692096134146,-0.0003253496059373276,-12.656952609671885,original_base
상위,0.0020869682406425712,0.0027224858929709365,0.004809454133613508,0.0006355176523283653,30.45171651163658,original_base
비전,0.002122449815762657,0.002686297559843861,0.0048087473756065185,0.0005638477440812043,26.565892860868313,original_base
분노,0.0023996972106715467,0.002401280088399806,0.004800977299071352,1.582877728259404e-06,0.06596156053439932,original_base
따라,0.002458319586334978,0.0023363706180921937,0.004794690204427172,-0.00012194896824278432,-4.960663736344945,original_base
하지만,0.0027331421578084044,0.002058030611207432,0.004791172769015837,-0.0006751115466009723,-24.700930563462414,original_base
오는,0.002181590088839136,0.002608317755607993,0.004789907844447129,0.00042672766676885715,19.56039628855881,original_base
사이트,0.002688918770804825,0.0020964847668685496,0.004785403537673375,-0.0005924340039362755,-22.032424719135456,original_base
분리,0.0018850117157975701,0.0029001338576577136,0.0047851455734552835,0.0010151221418601435,53.85229881346566,original_base
충격,0.002372868913837107,0.0024114398199484564,0.004784308733785563,3.8570906111349505e-05,1.6254967093389687,original_base
머리,0.002590720049168932,0.002184435675809259,0.004775155724978191,-0.00040628437335967285,-15.682295487310697,original_base
필요성,0.002209717050460564,0.0025652282696022816,0.004774945320062845,0.00035551121914171755,16.088540343553014,original_base
것은,0.002651022050995122,0.0021205699851085647,0.004771592036103687,-0.0005304520658865573,-20.00934189466436,original_base
명을,0.0025687073956766077,0.0021982602124074055,0.004766967608084013,-0.0003704471832692022,-14.421540728722235,original_base
기부,0.002356050227494436,0.002410912825285999,0.004766963052780435,5.486259779156292e-05,2.3285835399997845,original_base
