단어,log_odds_z,강화_정부
빌보드,26.08105491163058,문재인정부
서울교통공사,26.040205531240805,문재인정부
윤영찬,26.015664547419338,문재인정부
장하성,26.006586058458183,문재인정부
중대본,26.005231719678136,문재인정부
검사들,25.986264258549298,문재인정부
진전,25.911081626020543,문재인정부
얀센,25.90256744524777,문재인정부
유동규,25.89857018718795,문재인정부
성장,25.862166273384,문재인정부
다스,25.861975381656244,문재인정부
한진칼,25.837179349899408,문재인정부
성남도시개발공사,25.81122216769209,문재인정부
최종구,25.787704642880655,문재인정부
섹터,25.780813547451388,문재인정부
변창흠,25.769590059224484,문재인정부
정시,25.766447959154988,문재인정부
수소차,25.76440699844126,문재인정부
특례,25.761432899545017,문재인정부
워라밸,25.745245419205546,문재인정부
인플레이션,25.70954869118597,문재인정부
유재수,25.700149488729117,문재인정부
블링컨,25.694062729375304,문재인정부
김혜경,25.689164267356134,문재인정부
선거법,25.624832975432337,문재인정부
리얼미터,25.61650720740461,문재인정부
미래한국당,25.60304378702045,문재인정부
정의선,25.57514869651574,문재인정부
정호영,25.52264720894889,문재인정부
임대료,25.513213277986313,문재인정부
송철호,25.48440900711801,문재인정부
모더나,25.470380007937106,문재인정부
유플러스,25.444108925411754,문재인정부
곽상도,25.422818696540325,문재인정부
서지현,25.395771670186274,문재인정부
김만배,25.355415948116363,문재인정부
러시아군,25.33182869883297,문재인정부
재택,25.316732850177946,문재인정부
머스크,25.3019498778515,문재인정부
삼성바이오,25.284989223769497,문재인정부
탄력근로제,25.261268144734817,문재인정부
집무실,25.25257830138685,문재인정부
급등,25.23258269637509,문재인정부
수사지휘권,25.213609140500274,문재인정부
개헌안,25.19938311494045,문재인정부
공정경제,25.19588155819081,문재인정부
이첩,25.176337215495558,문재인정부
페미니즘,25.13351873500763,문재인정부
변상욱,25.126732835750673,문재인정부
카불,25.100649715784417,문재인정부
서울시장,25.05683403138993,문재인정부
조사단,25.018232811414038,문재인정부
월북,25.015705245328775,문재인정부
추진,25.010015337900633,문재인정부
관세,24.983073904786014,문재인정부
셀트리온,24.9737438919386,문재인정부
동물,24.957185313443578,문재인정부
대검찰청,24.94983119415883,문재인정부
이통통신,24.94583712769739,문재인정부
검찰청,24.898635550066807,문재인정부
내로남불,24.881935133820708,문재인정부
김명수,24.848616829951542,문재인정부
정책실장,24.845433109815858,문재인정부
고교학점제,24.78887336588547,문재인정부
질병관리청,24.700231096866464,문재인정부
방탄,24.681705348593336,문재인정부
아동수당,24.625438576409817,문재인정부
지지층,24.60642712195229,문재인정부
손혜원,24.600789689830872,문재인정부
진단키트,24.598096939031148,문재인정부
성일종,24.545683885767353,문재인정부
전지,24.513231567458636,문재인정부
제롬,24.505248294253253,문재인정부
알고리즘,24.487790232054735,문재인정부
남북정상회담,24.472627654094225,문재인정부
케어,24.45609958693757,문재인정부
방역패스,24.414611103714005,문재인정부
중증,24.39946073409781,문재인정부
위드,24.39895608766625,문재인정부
서욱,24.39496915878642,문재인정부
채용비리,24.35119196491819,문재인정부
중앙지검장,24.32430337614286,문재인정부
방위비,24.29492116870933,문재인정부
오징어,24.293244706780943,문재인정부
소상공인들,24.28045074613081,문재인정부
토트넘,24.22140258130333,문재인정부
반려견,24.188289616096746,문재인정부
강병원,24.159191800751664,문재인정부
공론화,24.130923353985715,문재인정부
산업부,24.12519673389956,문재인정부
국무부,24.094274779103472,문재인정부
코어,24.082332928232283,문재인정부
사찰,24.06788904315997,문재인정부
윤건영,24.06217732416738,문재인정부
양도세,24.05136901047999,문재인정부
탑재,23.99597165982663,문재인정부
블라인드,23.995263967281044,문재인정부
의료진,23.959425988882348,문재인정부
성평등,23.9279376316134,문재인정부
쿼드,23.917959731706716,문재인정부
거리두기,23.883032681915008,문재인정부
업무,23.804772168205943,문재인정부
벤투,23.738830183665552,문재인정부
로드맵,23.738056252554145,문재인정부
사모펀드,23.725681646434463,문재인정부
반등,23.72111649494594,문재인정부
독감,23.690165125224524,문재인정부
대륙간탄도미사일,23.688243920989912,문재인정부
박주민,23.663563039377575,문재인정부
메모리,23.64755358184411,문재인정부
이재갑,23.640444687861045,문재인정부
테마,23.630854428720163,문재인정부
펜스,23.615134944948746,문재인정부
원격,23.608756983397843,문재인정부
수사처,23.577722312893762,문재인정부
윤기찬,23.553891711374636,문재인정부
프로세서,23.492568203338948,문재인정부
유예,23.490582891830037,문재인정부
예방접종,23.47676364299663,문재인정부
낙태죄,23.473814350587936,문재인정부
다주택,23.465861417323737,문재인정부
상산고,23.449115513877352,문재인정부
특공,23.39006655695541,문재인정부
탁현민,23.3678199148443,문재인정부
개혁위,23.35285908160801,문재인정부
뉴스브리핑,23.32153423607965,문재인정부
장경태,23.30875680697993,문재인정부
선대,23.307044033356366,문재인정부
테크,23.306720332648453,문재인정부
강민석,23.293317758564847,문재인정부
노영민,23.292888068640284,문재인정부
공정위,23.27644075234408,문재인정부
법사위,23.260460591420703,문재인정부
