단어,log_odds_z,강화_정부
러시아군,25.37727215840785,문재인정부
재택,25.358856232306536,문재인정부
머스크,25.355562585746718,문재인정부
집무실,25.325241041780075,문재인정부
삼성바이오,25.322425754465947,문재인정부
급등,25.316319742040026,문재인정부
탄력근로제,25.297766255456356,문재인정부
개헌안,25.25437263661936,문재인정부
수사지휘권,25.25251704471283,문재인정부
공정경제,25.234144673113434,문재인정부
이첩,25.220044297760126,문재인정부
페미니즘,25.20066085957474,문재인정부
변상욱,25.164061643460133,문재인정부
서울시장,25.153528088160957,문재인정부
카불,25.141714017702444,문재인정부
동물,25.086192473682985,문재인정부
조사단,25.0846441321032,문재인정부
관세,25.073518851278877,문재인정부
월북,25.064845632107797,문재인정부
대검찰청,25.0383563497435,문재인정부
셀트리온,25.024598850680206,문재인정부
이통통신,24.981881577408778,문재인정부
검찰청,24.97106751178057,문재인정부
내로남불,24.91809870806805,문재인정부
김명수,24.916866913296154,문재인정부
정책실장,24.89500973195492,문재인정부
고교학점제,24.824600605625395,문재인정부
질병관리청,24.736788497223245,문재인정부
방탄,24.728884418005716,문재인정부
지지층,24.69004828959346,문재인정부
아동수당,24.665990412382726,문재인정부
손혜원,24.651025073726874,문재인정부
진단키트,24.63520332880957,문재인정부
전지,24.584094224299303,문재인정부
성일종,24.583056351660893,문재인정부
남북정상회담,24.561811915833523,문재인정부
제롬,24.54859464306582,문재인정부
알고리즘,24.54286487002825,문재인정부
케어,24.53048990558863,문재인정부
중증,24.479956806345022,문재인정부
방역패스,24.449798742117338,문재인정부
위드,24.441353892872932,문재인정부
서욱,24.43015950876924,문재인정부
채용비리,24.390569331367768,문재인정부
중앙지검장,24.37458001454091,문재인정부
방위비,24.367553369806284,문재인정부
오징어,24.341406358883145,문재인정부
소상공인들,24.32652751783829,문재인정부
토트넘,24.281258273282056,문재인정부
반려견,24.23657159205374,문재인정부
산업부,24.212899336855862,문재인정부
공론화,24.206409853994742,문재인정부
국무부,24.20049714467404,문재인정부
강병원,24.19808897106148,문재인정부
사찰,24.164997436259263,문재인정부
코어,24.128161324044882,문재인정부
양도세,24.106228661814264,문재인정부
윤건영,24.09834150517314,문재인정부
탑재,24.096126872860925,문재인정부
업무,24.0792747490619,문재인정부
의료진,24.05855197019634,문재인정부
블라인드,24.044125597393066,문재인정부
성평등,23.97191850174517,문재인정부
쿼드,23.956228901147288,문재인정부
거리두기,23.918352404010548,문재인정부
로드맵,23.818701245815802,문재인정부
반등,23.79295326598623,문재인정부
사모펀드,23.781438208122818,문재인정부
벤투,23.77332857396285,문재인정부
독감,23.743511847559507,문재인정부
대륙간탄도미사일,23.740367181187718,문재인정부
박주민,23.715546965878758,문재인정부
메모리,23.7103569998914,문재인정부
테마,23.70223130175244,문재인정부
원격,23.686927106334778,문재인정부
이재갑,23.67998970233277,문재인정부
펜스,23.67151913570221,문재인정부
수사처,23.61900110801208,문재인정부
유예,23.596208794761022,문재인정부
윤기찬,23.58787055646576,문재인정부
프로세서,23.539157411833415,문재인정부
예방접종,23.521189943975013,문재인정부
낙태죄,23.50949006078807,문재인정부
다주택,23.504170804503612,문재인정부
상산고,23.48932113534886,문재인정부
특공,23.426121791276717,문재인정부
탁현민,23.402508138284333,문재인정부
공정위,23.393570135064216,문재인정부
개혁위,23.389064348269297,문재인정부
뉴스브리핑,23.372283804166194,문재인정부
선대,23.372010753545542,문재인정부
테크,23.355020333737357,문재인정부
장경태,23.34512969767171,문재인정부
노영민,23.342178336224933,문재인정부
법사위,23.338006254094225,문재인정부
강민석,23.33028217503906,문재인정부
조두순,23.27661619306643,문재인정부
양도,23.26294011180149,문재인정부
조수진,23.25136615788292,문재인정부
택지,23.22012326714265,문재인정부
김근식,23.182181003812975,문재인정부
제보,23.180848706341166,문재인정부
에스퍼,23.16599668565931,문재인정부
김효신,23.13845528385302,문재인정부
인권위,23.128169692244743,문재인정부
신재민,23.09792951488596,문재인정부
조정안,23.092471004450847,문재인정부
커머스,23.06154043819973,문재인정부
이강인,23.053459944623953,문재인정부
젤렌스키,23.042099029578647,문재인정부
트랙,23.023260024629753,문재인정부
정통부,23.0180477736476,문재인정부
임종헌,22.996432639609644,문재인정부
김정숙,22.987491192353875,문재인정부
자영업자들,22.98638816680058,문재인정부
댓글,22.95707619243459,문재인정부
표심,22.95575020146147,문재인정부
보궐,22.93854878532856,문재인정부
긴급재난지원금,22.92961612479258,문재인정부
가덕도,22.916890460014887,문재인정부
방북,22.91653756009977,문재인정부
사모,22.89238622409528,문재인정부
김지은,22.857476125022316,문재인정부
근로,22.825271265125327,문재인정부
폴드,22.818278438265388,문재인정부
이커머스,22.809089474888413,문재인정부
후보가,22.80607931502131,문재인정부
면제,22.805052759950076,문재인정부
재개발,22.78626925586601,문재인정부
매입,22.775854547120733,문재인정부
옵티머스,22.7576768028653,문재인정부
미중,22.744054202676406,문재인정부
평화당,22.734690841392872,문재인정부
치명률,22.723211642559743,문재인정부
피고인,22.68655141307205,문재인정부
손준성,22.685463160046204,문재인정부
비수도권,22.654531705748592,문재인정부
투기과열지구,22.618892023965735,문재인정부
거주,22.612678808083462,문재인정부
이도훈,22.58978855960839,문재인정부
실수요자,22.586383365831175,문재인정부
식약처,22.557393638327827,문재인정부
과기부,22.54532322545768,문재인정부
결제,22.542969109772137,문재인정부
박창환,22.534738863347854,문재인정부
고발장,22.520828357819905,문재인정부
합당,22.509609809098166,문재인정부
씽큐,22.4942625936643,문재인정부
폐쇄,22.473163012052584,문재인정부
판사들,22.46826825771807,문재인정부
안정자금,22.46261065548939,문재인정부
예배,22.45361496390002,문재인정부
해제,22.441132790470736,문재인정부
평창올림픽,22.424898823876994,문재인정부
가해,22.421160735112892,문재인정부
황운하,22.40754550224136,문재인정부
리니지,22.382079730213878,문재인정부
수사심의위,22.37522954995344,문재인정부
틸러슨,22.37402366616684,문재인정부
진천,22.36182941095846,문재인정부
방송일시,22.360875346963947,문재인정부
현대모비스,22.354153633536722,문재인정부
구광모,22.34582432903992,문재인정부
네거티브,22.336092919153387,문재인정부
양정철,22.32011381504806,문재인정부
동맹,22.28400694797549,문재인정부
국무위원장이,22.27690770664146,문재인정부
박항서,22.273554595788212,문재인정부
은성수,22.273099519942143,문재인정부
사법개혁,22.239315348415893,문재인정부
표창장,22.232465524229077,문재인정부
봉쇄,22.220561055407387,문재인정부
새보수당,22.1679260531378,문재인정부
박수현,22.145066091633705,문재인정부
종료,22.141279088914054,문재인정부
재생에너지,22.134898038191704,문재인정부
무역분쟁,22.132546294965874,문재인정부
미북,22.110390467176895,문재인정부
특감반,22.091976621230632,문재인정부
가성비,22.06845946512784,문재인정부
바른정당,22.065817467154424,문재인정부
전염병,22.046010284333875,문재인정부
매물,22.024844912689453,문재인정부
법무,22.008926340357043,문재인정부
누리호,21.992624025724293,문재인정부
폐기물,21.989981152698345,문재인정부
한유총,21.988330298080182,문재인정부
양소영,21.98458989283187,문재인정부
여파,21.966724971623844,문재인정부
실내,21.958306839166795,문재인정부
폴더블,21.95218928778556,문재인정부
종합부동산세,21.951235087179718,문재인정부
상속세,21.93666883413244,문재인정부
