,박근혜정부,문재인정부,importance,증감률(%)
반발,0.0042186884472739435,0.004847888098701599,0.009066576545975542,14.914579715746376
인권,0.004242354200467701,0.004861492553196892,0.009103846753664593,14.594216406092025
소통,0.004548985156531111,0.005203372582448679,0.00975235773897979,14.385349773631262
경험,0.005671855048501202,0.006454708223283939,0.012126563271785141,13.8024185753761
주도,0.004482366816192065,0.005059109652617506,0.009541476468809571,12.866926337711138
의료,0.004621780788096609,0.0052147172538620215,0.00983649804195863,12.82917760384742
직무,0.0028033158446071136,0.0031512862499442824,0.005954602094551396,12.412814845911058
수용,0.0028199990155857303,0.003160067639229782,0.005980066654815512,12.059175260861476
공감,0.002774583458982236,0.003099193939362027,0.005873777398344263,11.699431110241807
행위,0.00451086201530588,0.005031737447187781,0.00954259946249366,11.547137334605015
육성,0.0032554299259687862,0.003591468281857721,0.0068468982078265074,10.322395613812299
원칙,0.003886328143013231,0.00427194610904084,0.008158274252054072,9.922424248216556
네트워크,0.0029477874420962683,0.0032395204455658412,0.00618730788766211,9.896677056949262
개선,0.008827392119466346,0.009694206540479077,0.018521598659945425,9.819598011299547
부정,0.003703633746618427,0.004046169964839702,0.007749803711458128,9.248652584344356
임금,0.005021389222148685,0.005474192861647235,0.01049558208379592,9.017497339208289
갈등,0.005609006080115128,0.006083465050480655,0.011692471130595784,8.45887780452876
직원,0.007758200697710195,0.008379431513224284,0.016137632210934477,8.00740841491047
변경,0.0030031802801674147,0.003220983681212898,0.006224163961380313,7.252425120257568
관리,0.009335310758602292,0.010006308638668297,0.01934161939727059,7.18774015581319
의미,0.007707455056596867,0.008221490666032909,0.015928945722629775,6.66932996250267
허용,0.0031945530811187273,0.00339966327355052,0.006594216354669247,6.420622454016748
개인,0.006402363671369466,0.006745284423776794,0.01314764809514626,5.356158600312322
영역,0.002980190665905562,0.003133673132120925,0.0061138637980264875,5.150088817177253
노동자,0.005745321756941503,0.0060313418353247685,0.01177666359226627,4.9783126251840635
회견,0.002794267309998792,0.0029197044015495444,0.005713971711548336,4.48908703551368
행동,0.0041214147114561435,0.004301370635541303,0.008422785346997447,4.3663629283639676
공격,0.0045158168408967365,0.0047006194479584295,0.009216436288855167,4.092340623473902
신뢰,0.004522797502800833,0.004706187197827044,0.009228984700627878,4.054784564479026
세금,0.0038975545650846207,0.004044652020010085,0.007942206585094706,3.7740961022894752
인식,0.004729469214267349,0.004869894291728554,0.009599363505995903,2.9691508940915887
정보,0.00967094825240413,0.00992779738636684,0.019598745638770967,2.655883655450848
행정,0.004634630363321831,0.00472762125740045,0.009362251620722281,2.006436043196531
제안,0.005852205291694393,0.0059562143738293065,0.0118084196655237,1.777263047872335
경쟁력,0.0053626863890421945,0.005436818764008908,0.010799505153051102,1.3823738624393753
성과,0.009462293759439097,0.00958657973273132,0.019048873492170416,1.3134867343157846
혁신,0.012251593683731264,0.012403338397602775,0.02465493208133404,1.2385712241911102
이해,0.004966776908323351,0.005003148915851982,0.009969925824175333,0.7323060447445885
청소년,0.0030369164572825965,0.0030058351163160337,0.00604275157359863,-1.0234506415884115
불안,0.003154790086666886,0.003100527454565324,0.00625531754123221,-1.7200076902388177
공공기관,0.0029637202870956623,0.002883381967246773,0.005847102254342436,-2.710725441894446
근로자,0.003839605699105959,0.0037323911821162026,0.007571996881222162,-2.7923314369160654
마음,0.006914425196436974,0.0066825248873670666,0.01359695008380404,-3.3538624322583868
경쟁,0.006180556461563863,0.005919000210544549,0.012099556672108411,-4.231920744449163
경영,0.006902338149255895,0.0065078740557666746,0.01341021220502257,-5.71493434484582
희망,0.0044979437509420446,0.004200674755194825,0.00869861850613687,-6.60899762663684
공사,0.004387260030683934,0.004048353397102304,0.008435613427786239,-7.724790215564162
연계,0.003095509078502853,0.002839817619896552,0.0059353266983994055,-8.260077813435656
책임,0.008018476236726002,0.007318027287202752,0.015336503523928754,-8.735437118527239
교육,0.013112961254613045,0.011612522798869951,0.024725484053482995,-11.442407451751226
승진,0.003885564630924446,0.003415630950123213,0.0073011955810476595,-12.094347294113273
노조,0.0050329113713968535,0.004381241353584364,0.009414152724981218,-12.94817193714306
현실,0.005428626954381336,0.004725004925402431,0.010153631879783766,-12.961325854432218
능력,0.005847824751358827,0.005077597842575615,0.010925422593934442,-13.171169478090789
태도,0.0033160803824028124,0.002870277220126091,0.0061863576025289035,-13.443677802336476
조직,0.011532298964006264,0.009632447267369925,0.021164746231376187,-16.474180062154225
노동,0.005406811074387627,0.004511769211150418,0.009918580285538044,-16.553969630584533
개혁,0.01057082016934425,0.008473677165058615,0.019044497334402867,-19.838980993806175
공무원,0.018930497871980145,0.015055404163674381,0.033985902035654526,-20.47010984344717
취업,0.0058974641725558635,0.0045909429707448185,0.010488407143300682,-22.153948944548148
복지,0.006833518816097955,0.004832309531094904,0.01166582834719286,-29.28519462460151
연금,0.007534319365540465,0.003207557354000954,0.01074187671954142,-57.427377333229565
