,박근혜정부,문재인정부,importance,증감률(%)
소통,0.004489106149461528,0.0051325122165707966,0.009621618366032324,14.332609782159992
인권,0.004203495828174195,0.004792358678258872,0.008995854506433067,14.00888389463329
경험,0.005624244572006379,0.006378900033037345,0.012003144605043724,13.417899086165663
의료,0.004573599902340456,0.0051508301698357,0.009724430072176157,12.620917435297665
주도,0.004439316752818741,0.004978537589012302,0.009417854341831042,12.146482583185431
행위,0.0044887404240959595,0.004995153892866287,0.009483894316962248,11.281861300151268
육성,0.003211142577527126,0.003524648978308378,0.006735791555835504,9.763079440174856
네트워크,0.002918866208422732,0.003202873921172168,0.0061217401295948996,9.730069570503023
개선,0.008731818356006052,0.009576138397543028,0.018307956753549078,9.669464103730732
운영,0.010765414600656564,0.011804450608887617,0.022569865209544182,9.651611635725429
원칙,0.00385412145782675,0.0042139864031204045,0.008068107860947155,9.337145941855558
인사,0.011113182839090425,0.012111672615666409,0.023224855454756832,8.984732736186197
부정,0.00367066627150224,0.0039935197487787535,0.007664186020280994,8.795500691060756
참여,0.009579683202437116,0.010421983208323417,0.02000166641076053,8.792566393761495
임금,0.004984625968566507,0.0054142209728713425,0.01039884694143785,8.618399996587502
직원,0.007693292102697342,0.008307645219079148,0.01600093732177649,7.985568572996309
갈등,0.0055659512379057806,0.006007015559504623,0.011572966797410404,7.924329602369919
관리,0.009243709516093776,0.009904757965884543,0.01914846748197832,7.151333008029372
변경,0.002983823675913292,0.0031942577055936415,0.006178081381506934,7.052495473477991
의미,0.007652711336941653,0.008139764325182848,0.0157924756621245,6.364450020348506
허용,0.0031741667903927083,0.0033703003198977833,0.006544467110290492,6.179055558728511
개인,0.006360270466465784,0.0066920176901658504,0.013052288156631633,5.215929502513889
영역,0.0029496210574591246,0.003090921739322969,0.006040542796782094,4.79046898266872
노동자,0.0057100307897773915,0.00598231852599495,0.011692349315772342,4.768586129255775
행동,0.00409619779231037,0.0042646786609108365,0.008360876453221207,4.1131038378261096
신뢰,0.004484445500567545,0.004655410326411388,0.009139855826978932,3.812396110560512
공격,0.004507617140999553,0.004678760062273756,0.00918637720327331,3.7967492784059345
세금,0.00387938187520646,0.004009747835872465,0.007889129711078925,3.3604828000869835
정보,0.009592532136015871,0.009842820765877586,0.01943535290189346,2.609202933206627
인식,0.004682074302721373,0.004803346465513265,0.009485420768234637,2.5901375106628497
행정,0.004563795487907277,0.004662922630488082,0.009226718118395358,2.1720329678107353
제안,0.005801865291698455,0.005881017051770556,0.011682882343469012,1.3642467739703419
경쟁력,0.005309873627785845,0.0053759677181368214,0.010685841345922667,1.2447394228954034
성과,0.00936903187154573,0.009471500191303658,0.018840532062849386,1.0936916552619498
혁신,0.012137773305762694,0.012240362852358048,0.02437813615812074,0.8452089523425801
이해,0.004930177743340972,0.004950819783899773,0.009880997527240745,0.4186875531349994
평가,0.021424437881401893,0.02141955529347515,0.04284399317487704,-0.02278980645266626
청소년,0.0030115867608486273,0.0029696405899139167,0.005981227350762544,-1.3928262496044
불안,0.0031354873211769125,0.003072639888318865,0.006208127209495777,-2.0043912291904165
근로자,0.0038144712463025923,0.0037053369953935615,0.007519808241696154,-2.8610584236233487
