,박근혜정부,문재인정부,importance,증감률(%)
공격,0.004296413276568658,0.004655214893673419,0.008951628170242077,8.35118956226944
개인,0.00643342750186315,0.006913862682617231,0.01334729018448038,7.467795053491226
세금,0.0039682925739301655,0.004240286054631253,0.00820857862856142,6.854169031990177
영역,0.003024260426502116,0.003228417215119337,0.006252677641621454,6.750635190943209
노동자,0.005789940108302722,0.0061645354694437075,0.01195447557774643,6.469762279644637
출발,0.002629982162922334,0.002799749840781394,0.005429732003703728,6.455088564951359
행동,0.00405358252908197,0.004313154553464209,0.008366737082546179,6.4035213917557785
허용,0.0031768723200755033,0.003379961701048721,0.006556834021124225,6.392746088341099
신뢰,0.004508268134591654,0.004788796759971245,0.0092970648945629,6.222536393235201
식품,0.002612172986062827,0.0027733770672581926,0.00538555005332102,6.171263620574329
회견,0.0027360676146416137,0.002899466340235936,0.00563553395487755,5.972028056613847
혁신,0.012353427380317727,0.013012591766104751,0.02536601914642248,5.3358826299270365
품질,0.002636465638736608,0.00276809029047615,0.005404555929212758,4.99246604263033
한계,0.002747435937188811,0.002871071769489699,0.00561850770667851,4.500044227687911
제안,0.005773311737262056,0.006018664003628167,0.011791975740890224,4.249766469088461
대학원,0.0027004107593412395,0.0028147366957628037,0.005515147455104043,4.233649863306491
경쟁력,0.005457674473729514,0.005664078323910694,0.011121752797640208,3.7819010857958557
성과,0.00947121523695158,0.009782584632540309,0.01925379986949189,3.287533730348914
행정,0.004729352822857746,0.004869600230975335,0.00959895305383308,2.9654672292528024
간부,0.002698455395794368,0.002746681533144105,0.005445136928938473,1.787175634805721
민생,0.0027137960847154314,0.002736938151307336,0.005450734236022768,0.8527562819566554
영향력,0.0026579278315437276,0.0026769501936111774,0.005334878025154905,0.7156839189422854
공공기관,0.003044933072368108,0.0030269100936908093,0.006071843166058917,-0.5919006509815335
청소년,0.003046318747845812,0.003026656793385506,0.006072975541231318,-0.6454332618413483
근로자,0.003959991581342344,0.00390916506965234,0.007869156650994684,-1.2835004985736416
고통,0.0028354459041274064,0.002775668467836777,0.005611114371964184,-2.1082199524108254
지역구,0.002742891445333711,0.002664227546011079,0.00540711899134479,-2.8679187962927597
희망,0.004481031871540726,0.0042783431822061525,0.008759375053746878,-4.523259265836961
연계,0.0031138381370762807,0.002969170772010599,0.0060830089090868796,-4.645950068603002
경영,0.007059792208739527,0.006730330210716131,0.013790122419455658,-4.666737890890689
공사,0.004391667685501536,0.004094986553703434,0.00848665423920497,-6.755546025887897
실험,0.0028083998302500875,0.0025898735815593366,0.005398273411809424,-7.781165855977534
대안,0.0028728717701884685,0.002609308882529318,0.005482180652717787,-9.174196022047301
생명,0.0028379868567541657,0.002570743963158027,0.0054087308199121924,-9.416636055241879
노조,0.005010285149236375,0.004435908943224205,0.009446194092460579,-11.46394244845947
능력,0.005858409614642438,0.00516692496096544,0.011025334575607879,-11.803282787681995
승진,0.003970443850935115,0.003497945221548892,0.007468389072484007,-11.900398220590375
조직,0.011347706588214197,0.009774032120597895,0.021121738708812093,-13.867775443284117
노동,0.005509909340057077,0.004673860306716329,0.010183769646773404,-15.173553351643482
기구,0.002927083434661899,0.002477495325860623,0.005404578760522522,-15.359593220929385
개혁,0.010612349509680397,0.008642278203182807,0.019254627712863202,-18.56395046827779
정규,0.0031649495538105064,0.002542114883283436,0.005707064437093942,-19.67913421486279
공무원,0.019179698551144014,0.015386785865522406,0.03456648441666642,-19.7756637076831
자원,0.003180210020367228,0.002531699513714667,0.005711909534081894,-20.39206538245156
연금,0.007662720994822346,0.00328680361207708,0.010949524606899425,-57.10657331386654
